transaction_id,customer_id,transaction_ts,transaction_type,direction,amount,country_code,channel
3183,220,2026-01-05 13:40:00,Wire Out,Out,540.55,US,Mobile
2942,201,2026-01-05 16:36:00,Card Purchase,Out,240.46,US,Mobile
106,9,2026-01-05 18:50:00,Cash Withdrawal,Out,9851.04,US,Automated
89,8,2026-01-05 19:20:00,ACH Credit,In,1492.39,US,Mobile
2927,200,2026-01-05 20:37:00,Card Purchase,Out,32.79,US,Branch
1442,98,2026-01-05 20:39:00,Cash Deposit,In,1889.69,US,Branch
1082,75,2026-01-05 20:49:00,Cash Deposit,In,6139.82,US,Automated
2411,164,2026-01-05 20:55:00,Wire In,In,20,US,Mobile
2229,151,2026-01-05 22:53:00,Card Purchase,Out,1164.84,US,Web
1440,98,2026-01-06 01:10:00,Card Purchase,Out,2500.25,US,Mobile
3053,209,2026-01-06 01:50:00,ACH Credit,In,1043.03,US,Automated
2832,195,2026-01-06 03:08:00,Card Purchase,Out,1243.03,US,Branch
3249,223,2026-01-06 03:16:00,Card Purchase,Out,942.63,US,Web
569,41,2026-01-06 03:34:00,Card Purchase,Out,9702.08,US,Mobile
2358,160,2026-01-06 05:53:00,Card Purchase,Out,10,GB,Branch
402,30,2026-01-06 06:17:00,Wire In,In,65.11,US,Branch
1651,110,2026-01-06 06:38:00,Card Purchase,Out,3724.64,US,Branch
51,4,2026-01-06 07:19:00,ACH Debit,Out,1902.76,US,Automated
2913,199,2026-01-06 07:19:00,Card Purchase,Out,568.24,US,Branch
965,68,2026-01-06 08:29:00,Cash Withdrawal,Out,1060.63,US,Automated
3308,228,2026-01-06 09:06:00,ACH Credit,In,2098.76,US,Mobile
2681,182,2026-01-06 10:07:00,Cash Withdrawal,Out,1137.02,US,Mobile
2710,185,2026-01-06 12:58:00,ACH Debit,Out,174.02,US,Mobile
753,54,2026-01-06 13:05:00,ACH Debit,Out,4126.52,US,Web
975,69,2026-01-06 13:12:00,ACH Credit,In,4038.52,US,Automated
2773,190,2026-01-06 14:01:00,ACH Credit,In,20,SG,Web
2478,170,2026-01-06 14:37:00,Card Purchase,Out,4385.81,US,Web
710,51,2026-01-06 14:44:00,Wire In,In,20,US,Mobile
1903,128,2026-01-06 18:05:00,ACH Credit,In,2988.58,US,Web
3196,221,2026-01-06 19:14:00,ACH Credit,In,20,US,Branch
1593,106,2026-01-06 20:02:00,ACH Credit,In,250.56,GB,Branch
930,66,2026-01-06 20:25:00,Wire In,In,40.85,US,Automated
1005,71,2026-01-06 21:50:00,ACH Debit,Out,3734.57,US,Mobile
3018,206,2026-01-06 22:51:00,Cash Deposit,In,2731.99,US,Branch
1723,114,2026-01-07 00:30:00,ACH Debit,Out,10,US,Web
3511,242,2026-01-07 01:08:00,ACH Debit,Out,1477.28,US,Branch
284,23,2026-01-07 01:38:00,ACH Debit,Out,7635.28,US,Branch
2807,193,2026-01-07 01:43:00,Wire Out,Out,4345.27,SG,Web
3301,227,2026-01-07 02:53:00,Card Purchase,Out,2112.63,US,Mobile
1795,120,2026-01-07 03:34:00,Cash Withdrawal,Out,3955.9,US,Branch
2945,202,2026-01-07 03:58:00,Wire In,In,4228.63,US,Web
2919,200,2026-01-07 04:31:00,Wire In,In,69.67,US,Web
2099,141,2026-01-07 05:04:00,Wire In,In,109.57,GB,Mobile
1363,93,2026-01-07 08:02:00,Cash Withdrawal,Out,3692.09,CA,Automated
2149,145,2026-01-07 13:43:00,Cash Deposit,In,1107.45,MX,Automated
216,18,2026-01-07 19:55:00,ACH Debit,Out,916.19,CA,Mobile
921,65,2026-01-07 23:25:00,ACH Debit,Out,10,US,Web
2575,176,2026-01-08 00:32:00,Cash Deposit,In,2547.54,US,Automated
2503,171,2026-01-08 00:49:00,ACH Debit,Out,297.22,US,Mobile
2527,173,2026-01-08 01:07:00,Wire In,In,26.33,US,Automated
1547,104,2026-01-08 01:14:00,ACH Credit,In,20,DE,Web
808,58,2026-01-08 02:20:00,Wire In,In,10171.42,US,Web
1810,121,2026-01-08 03:08:00,Card Purchase,Out,857.79,US,Branch
601,43,2026-01-08 03:18:00,Cash Deposit,In,7530.09,GB,Automated
2742,187,2026-01-08 03:59:00,Card Purchase,Out,1848.34,US,Automated
1169,81,2026-01-08 04:14:00,Card Purchase,Out,10,US,Web
1232,85,2026-01-08 04:23:00,Card Purchase,Out,1501.7,US,Branch
2125,143,2026-01-08 05:57:00,Cash Deposit,In,1359.59,US,Automated
3508,241,2026-01-08 07:41:00,ACH Debit,Out,791.6,US,Web
528,38,2026-01-08 08:12:00,Card Purchase,Out,3181.83,US,Mobile
3606,247,2026-01-08 08:19:00,Wire Out,Out,10,MX,Automated
706,51,2026-01-08 09:32:00,ACH Credit,In,20,GB,Web
14,1,2026-01-08 09:51:00,Cash Withdrawal,Out,2161.32,US,Branch
1749,116,2026-01-08 11:47:00,ACH Debit,Out,25.86,US,Automated
1061,74,2026-01-08 13:45:00,Card Purchase,Out,10,US,Branch
998,70,2026-01-08 16:00:00,Card Purchase,Out,1507.01,US,Web
888,64,2026-01-08 16:18:00,Card Purchase,Out,1852.49,US,Mobile
3049,209,2026-01-08 16:44:00,ACH Credit,In,540.62,US,Mobile
332,26,2026-01-08 17:47:00,ACH Debit,Out,17.16,US,Branch
3579,245,2026-01-08 18:02:00,Cash Withdrawal,Out,4140.41,US,Web
625,45,2026-01-08 22:52:00,ACH Debit,Out,10798.2,US,Web
1786,119,2026-01-09 00:18:00,ACH Credit,In,2446.89,US,Mobile
3292,227,2026-01-09 01:02:00,Cash Withdrawal,Out,2869.19,US,Web
1876,125,2026-01-09 01:54:00,Cash Deposit,In,4885.39,US,Web
438,33,2026-01-09 02:48:00,ACH Debit,Out,1342.04,US,Mobile
213,18,2026-01-09 03:17:00,ACH Debit,Out,3641.17,CA,Mobile
3011,206,2026-01-09 04:19:00,Cash Withdrawal,Out,3878.33,US,Branch
3101,213,2026-01-09 07:13:00,ACH Credit,In,80.25,US,Web
1886,126,2026-01-09 08:09:00,ACH Debit,Out,92.86,US,Branch
231,19,2026-01-09 09:03:00,ACH Credit,In,7006.37,US,Web
3313,228,2026-01-09 09:07:00,Card Purchase,Out,2207.96,US,Web
1686,112,2026-01-09 12:01:00,ACH Credit,In,1641.32,US,Branch
3393,234,2026-01-09 12:20:00,ACH Debit,Out,206.0,US,Web
1064,74,2026-01-09 13:01:00,ACH Debit,Out,2213.89,US,Branch
896,64,2026-01-09 13:29:00,ACH Credit,In,2731.58,US,Branch
656,47,2026-01-09 14:14:00,Card Purchase,Out,320.02,US,Mobile
167,14,2026-01-09 14:50:00,ACH Credit,In,1487.12,US,Web
2342,158,2026-01-09 15:46:00,Cash Withdrawal,Out,6305.56,US,Web
570,41,2026-01-09 16:05:00,Card Purchase,Out,157.45,US,Branch
2701,184,2026-01-09 17:39:00,ACH Credit,In,3392.94,GB,Web
940,66,2026-01-09 19:07:00,ACH Credit,In,20,US,Web
96,8,2026-01-09 20:13:00,Cash Deposit,In,642.46,US,Branch
1170,81,2026-01-09 22:12:00,Card Purchase,Out,1763.55,US,Mobile
472,35,2026-01-09 22:26:00,Card Purchase,Out,130.64,US,Branch
2658,180,2026-01-09 22:38:00,ACH Credit,In,10274.11,US,Mobile
3519,242,2026-01-09 23:08:00,Cash Deposit,In,3138.53,US,Automated
2350,159,2026-01-09 23:19:00,Card Purchase,Out,203.41,CA,Web
2100,141,2026-01-10 00:06:00,Cash Deposit,In,1724.41,US,Mobile
3279,225,2026-01-10 01:45:00,Card Purchase,Out,846.84,US,Web
3545,244,2026-01-10 01:50:00,Wire Out,Out,588.75,US,Branch
3291,227,2026-01-10 02:26:00,ACH Credit,In,2371.08,US,Web
535,39,2026-01-10 02:48:00,Card Purchase,Out,4223.63,US,Branch
2171,147,2026-01-10 03:20:00,Cash Deposit,In,20,US,Mobile
1316,90,2026-01-10 03:32:00,Card Purchase,Out,1689.31,US,Mobile
2514,172,2026-01-10 04:46:00,Card Purchase,Out,2775.63,MX,Web
3516,242,2026-01-10 04:57:00,Cash Deposit,In,3900.51,US,Web
3454,238,2026-01-10 05:03:00,Cash Withdrawal,Out,10,US,Branch
3294,227,2026-01-10 06:03:00,Wire Out,Out,2067.89,US,Automated
2212,150,2026-01-10 06:19:00,Cash Withdrawal,Out,5961.48,US,Mobile
3425,236,2026-01-10 09:13:00,Card Purchase,Out,1049.25,US,Mobile
1304,89,2026-01-10 09:24:00,ACH Credit,In,562.29,US,Branch
1413,95,2026-01-10 10:58:00,Cash Withdrawal,Out,8444.48,US,Mobile
1180,82,2026-01-10 11:35:00,Cash Deposit,In,165.4,US,Branch
2656,180,2026-01-10 11:48:00,Card Purchase,Out,71.46,US,Branch
1311,90,2026-01-10 12:28:00,Wire In,In,6792.31,US,Web
927,65,2026-01-10 13:35:00,ACH Debit,Out,1903.79,US,Web
2123,143,2026-01-10 13:35:00,Cash Withdrawal,Out,1509.35,US,Mobile
2987,204,2026-01-10 13:38:00,Cash Withdrawal,Out,6420.46,US,Web
682,49,2026-01-10 19:46:00,Card Purchase,Out,818.66,DE,Automated
3389,233,2026-01-10 21:30:00,Card Purchase,Out,2019.38,US,Branch
2684,182,2026-01-10 23:12:00,Card Purchase,Out,2591.69,US,Mobile
116,10,2026-01-11 03:17:00,Wire Out,Out,2968.93,US,Branch
1142,79,2026-01-11 04:13:00,Cash Deposit,In,989.78,US,Web
1089,75,2026-01-11 04:41:00,Cash Deposit,In,6045.93,US,Branch
2076,139,2026-01-11 06:05:00,Cash Withdrawal,Out,1685.0,US,Mobile
2605,177,2026-01-11 06:17:00,ACH Debit,Out,1332.92,US,Mobile
3264,224,2026-01-11 08:35:00,Cash Deposit,In,3704.41,US,Mobile
1454,98,2026-01-11 10:16:00,ACH Debit,Out,2627.12,SG,Branch
1949,132,2026-01-11 10:25:00,ACH Debit,Out,127.06,US,Automated
834,60,2026-01-11 10:53:00,Card Purchase,Out,1516.25,US,Automated
1465,99,2026-01-11 11:13:00,ACH Debit,Out,685.68,US,Branch
1992,135,2026-01-11 11:35:00,Wire Out,Out,2204.3,CA,Web
836,60,2026-01-11 12:42:00,Cash Withdrawal,Out,1883.97,US,Automated
20,2,2026-01-11 13:43:00,ACH Credit,In,68.83,US,Branch
2512,172,2026-01-11 21:05:00,Wire In,In,3527.91,US,Automated
981,69,2026-01-11 21:47:00,ACH Credit,In,2298.43,US,Web
1864,124,2026-01-11 21:51:00,Card Purchase,Out,10,US,Branch
474,35,2026-01-11 22:32:00,Cash Deposit,In,897.11,CA,Mobile
1296,88,2026-01-12 01:39:00,Wire In,In,463.87,US,Mobile
369,28,2026-01-12 02:16:00,ACH Debit,Out,135.34,CA,Web
2570,175,2026-01-12 03:52:00,ACH Debit,Out,10,US,Branch
2214,150,2026-01-12 04:32:00,Cash Withdrawal,Out,2669.27,US,Mobile
2387,162,2026-01-12 04:53:00,ACH Credit,In,1506.45,US,Mobile
411,31,2026-01-12 06:02:00,Cash Deposit,In,1322.73,US,Mobile
1572,105,2026-01-12 08:02:00,ACH Credit,In,3464.59,GB,Branch
758,54,2026-01-12 08:03:00,Card Purchase,Out,2037.8,US,Web
1365,93,2026-01-12 09:39:00,ACH Debit,Out,2381.03,US,Mobile
478,35,2026-01-12 09:40:00,Card Purchase,Out,392.17,US,Automated
148,13,2026-01-12 10:10:00,Cash Withdrawal,Out,10,US,Automated
2801,192,2026-01-12 12:00:00,Wire Out,Out,1083.32,US,Mobile
171,14,2026-01-12 12:06:00,Wire In,In,6161.84,US,Automated
2521,172,2026-01-12 12:42:00,Wire In,In,3697.9,US,Automated
481,35,2026-01-12 12:54:00,ACH Credit,In,574.88,US,Mobile
1573,105,2026-01-12 13:10:00,Card Purchase,Out,2421.88,US,Web
870,62,2026-01-12 14:35:00,Card Purchase,Out,14.0,US,Automated
1150,79,2026-01-12 14:45:00,Wire Out,Out,1877.4,US,Mobile
1431,97,2026-01-12 17:18:00,Wire Out,Out,4449.78,US,Automated
2086,140,2026-01-12 18:00:00,Cash Withdrawal,Out,1501.82,CA,Mobile
1299,88,2026-01-12 18:31:00,ACH Credit,In,668.77,US,Web
1115,77,2026-01-12 19:51:00,ACH Debit,Out,3789.25,US,Branch
2632,179,2026-01-12 21:41:00,Cash Withdrawal,Out,773.51,US,Automated
156,13,2026-01-12 22:14:00,Wire Out,Out,1547.85,US,Mobile
934,66,2026-01-12 23:33:00,Card Purchase,Out,34.72,GB,Web
647,47,2026-01-13 00:08:00,ACH Debit,Out,415.26,US,Automated
3176,219,2026-01-13 00:10:00,ACH Debit,Out,10,US,Automated
744,54,2026-01-13 00:53:00,ACH Credit,In,11099.3,US,Branch
1521,102,2026-01-13 02:55:00,Cash Deposit,In,20,US,Automated
2970,203,2026-01-13 02:56:00,Cash Deposit,In,145.26,US,Web
2639,179,2026-01-13 05:12:00,Card Purchase,Out,10,US,Branch
3404,234,2026-01-13 05:32:00,Wire In,In,231.68,US,Branch
1410,95,2026-01-13 06:14:00,Card Purchase,Out,7934.14,US,Web
3255,224,2026-01-13 10:41:00,ACH Credit,In,3120.98,GB,Automated
906,64,2026-01-13 10:50:00,Cash Deposit,In,4918.9,DE,Web
441,33,2026-01-13 11:13:00,Card Purchase,Out,1672.98,US,Automated
2552,174,2026-01-13 13:21:00,Card Purchase,Out,4268.79,US,Web
1265,86,2026-01-13 15:28:00,Cash Withdrawal,Out,1217.86,US,Web
376,28,2026-01-13 16:34:00,Card Purchase,Out,26.93,US,Branch
1679,112,2026-01-13 18:01:00,Wire Out,Out,1414.51,US,Automated
1620,108,2026-01-13 20:19:00,Card Purchase,Out,739.11,US,Mobile
1619,108,2026-01-13 20:49:00,Card Purchase,Out,737.44,GB,Web
327,26,2026-01-13 22:55:00,Cash Withdrawal,Out,20.72,DE,Mobile
939,66,2026-01-13 23:14:00,ACH Credit,In,43.05,US,Branch
2711,185,2026-01-13 23:59:00,ACH Debit,Out,787.98,MX,Branch
1788,119,2026-01-14 02:35:00,Card Purchase,Out,969.71,US,Web
1546,104,2026-01-14 02:43:00,Wire Out,Out,10,US,Web
893,64,2026-01-14 03:32:00,Card Purchase,Out,10,US,Mobile
1706,114,2026-01-14 04:47:00,Cash Withdrawal,Out,5814.65,US,Branch
1945,131,2026-01-14 05:17:00,Card Purchase,Out,2051.41,GB,Web
3063,210,2026-01-14 08:38:00,Wire Out,Out,5156.08,US,Mobile
470,34,2026-01-14 09:21:00,Cash Withdrawal,Out,187.5,DE,Automated
3135,217,2026-01-14 10:36:00,Card Purchase,Out,2421.99,US,Branch
110,9,2026-01-14 11:42:00,Cash Deposit,In,9003.67,US,Automated
1084,75,2026-01-14 14:01:00,Wire In,In,18242.57,US,Automated
3034,208,2026-01-14 14:09:00,Cash Deposit,In,20,US,Web
2300,155,2026-01-14 15:29:00,Card Purchase,Out,2484.17,US,Automated
3361,232,2026-01-14 16:35:00,ACH Debit,Out,747.4,SG,Automated
391,29,2026-01-14 19:05:00,Wire Out,Out,38.12,US,Mobile
2217,150,2026-01-14 20:40:00,Card Purchase,Out,4700.3,US,Automated
3360,232,2026-01-14 21:10:00,Cash Withdrawal,Out,816.11,US,Automated
740,53,2026-01-14 21:40:00,Cash Deposit,In,20,CA,Branch
3572,245,2026-01-15 00:48:00,Cash Withdrawal,Out,3231.1,US,Web
3503,241,2026-01-15 00:56:00,Wire In,In,2394.47,US,Branch
1634,108,2026-01-15 02:58:00,ACH Debit,Out,4290.14,US,Web
1879,126,2026-01-15 03:16:00,Card Purchase,Out,806.76,US,Mobile
2416,165,2026-01-15 03:25:00,Cash Withdrawal,Out,1877.96,US,Automated
752,54,2026-01-15 03:55:00,Card Purchase,Out,2296.52,US,Branch
3566,245,2026-01-15 04:00:00,Cash Withdrawal,Out,1434.17,US,Branch
3266,224,2026-01-15 04:44:00,Card Purchase,Out,483.3,CA,Branch
61,5,2026-01-15 06:21:00,Cash Withdrawal,Out,2270.41,US,Web
3412,235,2026-01-15 06:31:00,Card Purchase,Out,5221.0,US,Automated
2017,136,2026-01-15 06:45:00,Card Purchase,Out,10,US,Branch
3439,237,2026-01-15 08:18:00,Card Purchase,Out,10,US,Branch
523,38,2026-01-15 12:04:00,Wire In,In,1183.12,US,Automated
2769,190,2026-01-15 13:17:00,Cash Withdrawal,Out,26.25,US,Branch
1042,73,2026-01-15 13:36:00,Cash Deposit,In,3689.79,US,Branch
1944,131,2026-01-15 13:39:00,Card Purchase,Out,606.39,US,Web
797,57,2026-01-15 18:18:00,ACH Credit,In,322.29,US,Branch
1812,121,2026-01-15 19:58:00,Card Purchase,Out,309.74,US,Web
2461,169,2026-01-15 23:07:00,ACH Debit,Out,4986.17,US,Automated
2797,192,2026-01-16 00:34:00,Wire Out,Out,1055.8,US,Mobile
2859,196,2026-01-16 03:10:00,Cash Deposit,In,4502.49,US,Branch
2065,139,2026-01-16 03:16:00,Card Purchase,Out,10,US,Web
2115,142,2026-01-16 06:39:00,Cash Withdrawal,Out,2320.64,MX,Automated
1570,105,2026-01-16 06:59:00,Cash Deposit,In,3517.02,US,Mobile
2932,201,2026-01-16 07:29:00,Card Purchase,Out,1376.14,US,Mobile
433,32,2026-01-16 09:34:00,Card Purchase,Out,3352.61,US,Branch
1908,128,2026-01-16 12:11:00,Card Purchase,Out,10,US,Automated
2488,170,2026-01-16 12:57:00,ACH Credit,In,2114.68,US,Web
2417,165,2026-01-16 13:54:00,Cash Deposit,In,20,GB,Branch
377,28,2026-01-16 14:33:00,Card Purchase,Out,936.31,US,Web
798,57,2026-01-16 16:09:00,Wire Out,Out,6206.71,US,Mobile
1437,97,2026-01-16 16:35:00,Wire In,In,2622.23,US,Automated
1776,118,2026-01-16 18:23:00,Card Purchase,Out,333.33,US,Mobile
1017,71,2026-01-16 18:55:00,ACH Debit,Out,1389.31,US,Branch
485,35,2026-01-16 22:22:00,Card Purchase,Out,1703.68,US,Branch
325,25,2026-01-16 23:26:00,Card Purchase,Out,3239.5,US,Automated
459,34,2026-01-16 23:41:00,ACH Credit,In,20,CA,Web
3429,236,2026-01-17 02:04:00,ACH Debit,Out,2266.39,US,Automated
726,52,2026-01-17 06:04:00,ACH Credit,In,2948.93,US,Mobile
2828,195,2026-01-17 06:30:00,Card Purchase,Out,3183.99,US,Web
2266,153,2026-01-17 07:20:00,ACH Credit,In,6392.25,US,Branch
2176,147,2026-01-17 07:40:00,Cash Withdrawal,Out,3830.05,US,Automated
1736,116,2026-01-17 10:12:00,ACH Debit,Out,10,US,Mobile
3331,230,2026-01-17 11:13:00,Cash Withdrawal,Out,4492.48,US,Automated
2079,140,2026-01-17 12:06:00,ACH Credit,In,258.93,SG,Branch
130,11,2026-01-17 12:52:00,Card Purchase,Out,245.03,US,Mobile
2081,140,2026-01-17 17:20:00,Cash Withdrawal,Out,1462.11,US,Automated
1739,116,2026-01-17 19:02:00,Wire Out,Out,30.81,SG,Branch
373,28,2026-01-17 19:44:00,ACH Debit,Out,2890.41,US,Mobile
3349,231,2026-01-17 22:40:00,Cash Withdrawal,Out,718.91,US,Automated
2972,203,2026-01-17 22:48:00,Wire Out,Out,10,US,Mobile
2072,139,2026-01-17 23:50:00,Cash Deposit,In,1794.01,US,Automated
182,15,2026-01-18 00:42:00,Cash Withdrawal,Out,3719.45,US,Web
473,35,2026-01-18 00:58:00,ACH Debit,Out,1953.04,US,Automated
2581,176,2026-01-18 01:35:00,Card Purchase,Out,921.94,US,Branch
3521,242,2026-01-18 05:00:00,ACH Credit,In,4819.5,US,Mobile
2864,197,2026-01-18 05:50:00,Card Purchase,Out,10,CA,Mobile
2544,174,2026-01-18 12:53:00,Card Purchase,Out,4013.13,US,Automated
1302,88,2026-01-18 14:49:00,ACH Credit,In,839.64,US,Automated
3416,235,2026-01-18 15:15:00,Cash Withdrawal,Out,3199.62,US,Mobile
1253,86,2026-01-18 15:17:00,ACH Credit,In,907.25,US,Automated
2622,178,2026-01-18 16:48:00,Wire In,In,1441.77,US,Automated
3590,246,2026-01-18 18:24:00,Cash Withdrawal,Out,10,US,Web
3422,236,2026-01-18 20:16:00,Wire Out,Out,1512.18,US,Mobile
1901,128,2026-01-18 20:58:00,Card Purchase,Out,1390.09,CA,Web
2610,178,2026-01-19 00:16:00,Card Purchase,Out,10,US,Web
1389,94,2026-01-19 00:23:00,Card Purchase,Out,3546.14,US,Web
2747,187,2026-01-19 02:29:00,Wire Out,Out,1473.54,US,Branch
2435,166,2026-01-19 02:44:00,ACH Credit,In,4195.83,US,Mobile
2188,148,2026-01-19 03:16:00,Card Purchase,Out,1220.01,US,Web
2643,179,2026-01-19 04:51:00,Wire Out,Out,3630.06,MX,Automated
3259,224,2026-01-19 05:09:00,Cash Deposit,In,2627.44,MX,Branch
1086,75,2026-01-19 06:05:00,Cash Withdrawal,Out,9077.22,US,Branch
2762,189,2026-01-19 06:33:00,ACH Debit,Out,3444.35,US,Automated
766,55,2026-01-19 08:11:00,ACH Credit,In,231.55,US,Web
1650,110,2026-01-19 08:25:00,Cash Deposit,In,3333.95,US,Branch
1001,70,2026-01-19 09:43:00,ACH Credit,In,804.55,US,Branch
768,55,2026-01-19 09:58:00,Wire In,In,349.45,US,Automated
3172,219,2026-01-19 10:08:00,Wire In,In,1087.45,US,Branch
2240,151,2026-01-19 11:29:00,ACH Debit,Out,3793.29,US,Web
926,65,2026-01-19 11:49:00,Card Purchase,Out,5972.51,US,Web
126,11,2026-01-19 14:00:00,Card Purchase,Out,3527.85,US,Mobile
2862,197,2026-01-19 16:59:00,ACH Credit,In,45.24,US,Web
3144,217,2026-01-19 18:19:00,Cash Deposit,In,3978.77,US,Web
2758,189,2026-01-19 18:51:00,Cash Withdrawal,Out,4379.88,CA,Branch
