customer_id,region,customer_segment,risk_rating,occupation,avg_monthly_inflow,account_tenure_years
147,Northeast,Emerging Affluent,Medium,Consulting,8517.23,2
148,Midwest,Small Business,Low,Technology,6473.96,7
149,Midwest,Affluent,Low,Retail,16083.99,1
150,Northeast,Small Business,Medium,Technology,14714.22,5
151,West,Mass Market,Low,Hospitality,7730.21,2
152,Midwest,Mass Market,Low,Healthcare,3284.39,5
153,Midwest,Affluent,Medium,Hospitality,15838.84,5
154,Midwest,Mass Market,Low,Education,1006.73,3
155,West,Small Business,Low,Education,11054.2,2
156,Midwest,Small Business,Low,Hospitality,5075.09,1
157,West,Emerging Affluent,Medium,Technology,10607.22,5
158,Northeast,Emerging Affluent,Low,Hospitality,8703.01,7
159,Midwest,Mass Market,Low,Consulting,687.78,1
160,Midwest,Mass Market,High,Consulting,2823.82,3
161,South,Mass Market,Low,Technology,100,6
162,Northeast,Mass Market,Medium,Retail,3269.36,8
163,South,Small Business,Medium,Technology,6926.69,7
164,South,Small Business,Low,Hospitality,13322.91,2
165,Northeast,Affluent,Medium,Self-Employed,8212.52,1
166,West,Mass Market,Medium,Retail,7764.66,5
167,South,Mass Market,Low,Self-Employed,100,3
168,West,Emerging Affluent,Low,Education,8128.11,2
169,Midwest,Small Business,Low,Hospitality,12989.24,5
170,West,Emerging Affluent,Medium,Construction,9685.14,3
171,Midwest,Mass Market,Low,Consulting,1740.44,7
172,Northeast,Mass Market,Medium,Retail,6756.9,5
173,Midwest,Mass Market,Low,Construction,100,2
174,West,Mass Market,Medium,Self-Employed,11559.49,8
175,Northeast,Mass Market,Low,Education,8015.88,7
176,Midwest,Emerging Affluent,Low,Construction,10064.1,2
177,Northeast,Mass Market,Low,Education,4104.39,8
178,Northeast,Small Business,Low,Education,12414.57,2
179,Midwest,Small Business,Low,Hospitality,8714.78,1
180,West,Affluent,Low,Consulting,21215.77,5
181,Midwest,Mass Market,Low,Education,10131.81,5
182,Midwest,Affluent,Low,Education,14097.88,3
183,Midwest,Mass Market,Medium,Self-Employed,3267.5,3
184,South,Mass Market,Low,Consulting,13464.52,2
185,Midwest,Mass Market,Medium,Retail,3097.88,4
186,Midwest,Mass Market,Low,Healthcare,4667.75,6
187,Midwest,Mass Market,Low,Hospitality,7010.73,1
188,South,Emerging Affluent,Medium,Hospitality,3842.81,7
189,Northeast,Emerging Affluent,Low,Self-Employed,7401.71,1
190,West,Mass Market,Low,Technology,416.32,4
191,South,Small Business,Low,Education,12531.96,7
192,South,Emerging Affluent,Low,Hospitality,7916.45,4
193,West,Mass Market,High,Retail,6653.51,4
194,Northeast,Mass Market,Low,Construction,4747.55,5
195,Northeast,Emerging Affluent,Low,Consulting,14460.03,5
196,Northeast,Affluent,Low,Self-Employed,14047.83,8
197,Midwest,Mass Market,Low,Hospitality,100,1
198,West,Small Business,Medium,Education,15195.84,7
199,Midwest,Mass Market,Low,Technology,6010.57,7
200,South,Mass Market,Low,Construction,100,6
201,South,Mass Market,Medium,Technology,2347.06,3
202,Northeast,Emerging Affluent,Low,Education,7340.43,2
203,West,Mass Market,High,Self-Employed,1410.61,2
204,Midwest,Emerging Affluent,Low,Retail,7452.6,8
205,Northeast,Small Business,Low,Self-Employed,10039.93,5
206,West,Small Business,Low,Construction,13153.1,5
207,South,Mass Market,Low,Retail,5136.08,4
208,West,Mass Market,High,Self-Employed,100,1
209,Midwest,Mass Market,Low,Self-Employed,4530.47,8
210,West,Affluent,High,Hospitality,20347.05,2
211,Northeast,Emerging Affluent,Low,Technology,16755.63,2
212,South,Mass Market,Low,Retail,6251.42,3
213,Northeast,Emerging Affluent,Low,Technology,11420.42,3
214,South,Mass Market,Medium,Self-Employed,6197.8,8
215,West,Small Business,High,Hospitality,15766.14,3
216,Northeast,Mass Market,Low,Self-Employed,435.93,1
217,Midwest,Emerging Affluent,Medium,Construction,10565.3,6
218,West,Mass Market,Low,Healthcare,100,8
219,Northeast,Mass Market,Medium,Technology,11933.16,7
220,West,Mass Market,Medium,Consulting,903.73,8
221,Northeast,Mass Market,Low,Retail,100,8
222,West,Mass Market,Low,Self-Employed,100,6
223,Northeast,Affluent,Medium,Retail,18638.18,7
224,West,Mass Market,Low,Consulting,5276.31,2
225,Midwest,Mass Market,Medium,Self-Employed,7056.09,3
226,South,Emerging Affluent,Low,Education,5491.31,2
227,West,Small Business,Medium,Technology,6357.01,3
228,Northeast,Emerging Affluent,Low,Construction,12043.77,2
229,South,Small Business,Low,Education,8575.08,8
230,West,Mass Market,Medium,Retail,7604.2,2
231,Northeast,Small Business,Medium,Retail,7680.37,3
232,West,Mass Market,Medium,Retail,2229.94,8
233,Northeast,Mass Market,Medium,Consulting,6369.89,7
234,Northeast,Mass Market,Low,Construction,8129.0,8
235,West,Small Business,Medium,Technology,12066.5,1
236,South,Emerging Affluent,Low,Consulting,8895.42,1
237,Midwest,Mass Market,Low,Retail,3914.34,5
238,Midwest,Small Business,Low,Hospitality,10992.36,2
239,Northeast,Affluent,Medium,Retail,17549.82,5
240,Northeast,Mass Market,Medium,Self-Employed,3279.47,5
241,Midwest,Mass Market,High,Technology,10954.63,5
242,South,Mass Market,High,Retail,9191.83,1
243,South,Emerging Affluent,Medium,Retail,8935.12,6
244,Midwest,Affluent,Low,Consulting,18410.1,8
245,South,Small Business,Low,Consulting,14631.7,1
246,Northeast,Affluent,Low,Hospitality,17581.62,5
247,South,Mass Market,Low,Hospitality,790.43,1
248,Northeast,Affluent,Low,Education,16288.16,5
249,West,Emerging Affluent,Low,Education,15527.41,7
250,Midwest,Affluent,Medium,Technology,20782.23,3
